	a	i	u	e	o	ya	yu	yo	n
X	あ	い	う	え	お	X	X	X	ん
k	か	き	く	け	こ	きゃ	きゅ	きょ	X
a	さ	し	す	せ	そ	しゃ	しゅ	しょ	X
t	た	X	X	て	と	ちゃ	ちゅ	ちょ	X
n	な	に	ぬ	ね	の	にゃ	にゅ	にょ	X
h	は	ひ	ふ	へ	ほ	ひゃ	ひゅ	ひょ	X
m	ま	み	む	め	も	みゃ	みゅ	みょ	X
y	や	X	ゆ	X	よ	X	X	X	X
r	ら	り	る	れ	ろ	りゃ	りゅ	りょ	X
w	わ	ゐ	X	ゑ	を	X	X	X	X
g	が	ぎ	ぐ	げ	ご	ぎゃ	ぎゅ	ぎょ	X
z	ざ	じ	ず	ぜ	ぞ	じゃ	じゅ	じょ	X
d	だ	ぢ	づ	で	ど	ぢゃ	ぢゅ	ぢょ	X
b	ば	び	ぶ	べ	ぼ	びゃ	びゅ	びょ	X
p	ぱ	ぴ	ぷ	ぺ	ぽ	ぴゃ	ぴゅ	ぴょ	X
ch	X	ち	X	X	X	X	X	X	X
ts	X	X	つ	X	X	X	X	X	X
